100 0 100.0 100
200 0 100.0 200
300 0 100.0 300
400 81 100.0 400
500 24 100.0 500
600 65 100.0 600
700 49 100.0 700
800 68 100.0 800
900 74 100.0 900
1000 116 100.0 1000
1100 133 100.0 1100
1200 199 100.0 1200
1300 218 100.0 1300
1400 253 100.0 1400
1500 238 100.0 1500
1600 236 100.0 1600
1700 169 100.0 1700
1800 77 100.0 1800
1900 53 100.0 1900
2000 36 100.0 2000
2100 27 100.0 2100
2200 28 100.0 2200
2300 4 100.0 2300
2400 5 100.0 2400
2500 2 100.0 2500
2600 1 100.0 2600
2700 1 100.0 2700
2800 2 100.0 2800
2900 2 100.0 2900
3000 0 100.0 3000
3100 0 100.0 3100
3200 0 100.0 3200
3300 0 100.0 3300
3400 0 100.0 3400
3500 0 100.0 3500
3600 0 100.0 3600
3700 0 100.0 3700
3800 0 100.0 3800
3900 0 100.0 3900
4000 0 100.0 4000
